Date;CompanyCode;CompanyName;Country;Operation;Sessions;UniqueUsers;DateRange
2026-07-02 00:00:00.000;MOT005;Motor Industry Fund Administrators;South Africa;Lyra Southern Africa Pty Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-02 00:00:00.000;NET001;Netcare;South Africa;Lyra Southern Africa Pty Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-02 00:00:00.000;PROCTERGAMBLE;Procter & Gamble;Austria;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-02 00:00:00.000;SAP;SAP;Netherlands;Lyra Health International Ltd;2;2;2026-07-01 - 2026-07-31
2026-07-02 00:00:00.000;TMD;TMD Friction;United Kingdom;Lyra Health International Ltd;2;1;2026-07-01 - 2026-07-31
2026-07-02 00:00:00.000;Unmapped;Unmapped;United Kingdom;Unmapped;1;1;2026-07-01 - 2026-07-31
2026-07-02 00:00:00.000;VTTIHEALTH;VTTI;Netherlands;Lyra Health International Ltd;2;1;2026-07-01 - 2026-07-31
2026-07-02 00:00:00.000;WHSMITH;WH Smith;Ireland;Lyra;1;1;2026-07-01 - 2026-07-31
2026-07-02 00:00:00.000;WHSMITH;WH Smith;United Kingdom;Lyra;3;3;2026-07-01 - 2026-07-31
2026-07-03 00:00:00.000;CGI;CGI;Canada;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-03 00:00:00.000;COATS;Coats Group;France;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-03 00:00:00.000;ICASSATEST;ICAS South Africa (Test Preview);South Africa;Lyra Southern Africa Pty Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-03 00:00:00.000;ICASSATEST;ICAS South Africa (Test Preview);United Kingdom;Lyra Southern Africa Pty Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-03 00:00:00.000;ICASTESTCS;ICAS Client Services (Test Preview);South Africa;Lyra Health International Ltd;3;2;2026-07-01 - 2026-07-31
2026-07-03 00:00:00.000;ICASTESTCS;ICAS Client Services (Test Preview);United Kingdom;Lyra Health International Ltd;2;1;2026-07-01 - 2026-07-31
2026-07-03 00:00:00.000;REDSLIM;Redslim;Germany;Lyra Health International Ltd;2;1;2026-07-01 - 2026-07-31
2026-07-05 00:00:00.000;Unmapped;Unmapped;United Kingdom;Unmapped;1;1;2026-07-01 - 2026-07-31
2026-07-06 00:00:00.000;BDMY;Becton Dickinson;Malta;Lyra Health Malaysia Sdn Bhd;1;1;2026-07-01 - 2026-07-31
2026-07-06 00:00:00.000;BRIDGESTONE;Bridgestone;Belgium;Lyra Health International Ltd;2;1;2026-07-01 - 2026-07-31
2026-07-06 00:00:00.000;CGI;CGI;Canada;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-06 00:00:00.000;CORTEVA;Corteva;Poland;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-06 00:00:00.000;DATALOGIC;Datalogic;Malta;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-06 00:00:00.000;EIPC;EIPC;United Kingdom;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-06 00:00:00.000;EVEREST;Everest;United States;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-06 00:00:00.000;ICASTESTCS;ICAS Client Services (Test Preview);South Africa;Lyra Health International Ltd;2;2;2026-07-01 - 2026-07-31
2026-07-06 00:00:00.000;ICASTESTCS;ICAS Client Services (Test Preview);United Kingdom;Lyra Health International Ltd;2;2;2026-07-01 - 2026-07-31
2026-07-06 00:00:00.000;ICASTESTCS;ICAS Client Services (Test Preview);United States;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-06 00:00:00.000;LYRAGROUP;Lyra International;Hungary;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-06 00:00:00.000;NEWMONT;Newmont;United States;Lyra Health International Ltd;2;2;2026-07-01 - 2026-07-31
2026-07-06 00:00:00.000;REDSLIM;Redslim;Germany;Lyra Health International Ltd;2;1;2026-07-01 - 2026-07-31
2026-07-06 00:00:00.000;TMD;TMD Friction;United Kingdom;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-06 00:00:00.000;Unmapped;Unmapped;United Kingdom;Unmapped;1;1;2026-07-01 - 2026-07-31
2026-07-07 00:00:00.000;BAS001;BASF Holdings;South Africa;Lyra Southern Africa Pty Ltd;2;1;2026-07-01 - 2026-07-31
2026-07-07 00:00:00.000;BMKGENETICS;Benchmark Genetics;United States;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-07 00:00:00.000;EIPC;EIPC;United Kingdom;Lyra Health International Ltd;2;1;2026-07-01 - 2026-07-31
2026-07-07 00:00:00.000;ICASSATEST;ICAS South Africa (Test Preview);South Africa;Lyra Southern Africa Pty Ltd;2;2;2026-07-01 - 2026-07-31
2026-07-07 00:00:00.000;ICASSATEST;ICAS South Africa (Test Preview);United Kingdom;Lyra Southern Africa Pty Ltd;2;1;2026-07-01 - 2026-07-31
2026-07-07 00:00:00.000;ICASTESTCS;ICAS Client Services (Test Preview);South Africa;Lyra Health International Ltd;2;2;2026-07-01 - 2026-07-31
2026-07-07 00:00:00.000;ICASTESTCS;ICAS Client Services (Test Preview);United Kingdom;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-07 00:00:00.000;LYRAGROUP;Lyra International;Hungary;Lyra Health International Ltd;2;1;2026-07-01 - 2026-07-31
2026-07-07 00:00:00.000;RANK;Rank Leisure;Mauritius;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-07 00:00:00.000;SBDHUB22;Stanley Black & Decker;United Kingdom;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-07 00:00:00.000;Unmapped;Unmapped;South Africa;Unmapped;1;1;2026-07-01 - 2026-07-31
2026-07-08 00:00:00.000;ABPIE;ABP - Ireland;Ireland;Lyra UK & Ireland Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-08 00:00:00.000;BENCHMARK;Benchmark Holdings;Belgium;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-08 00:00:00.000;CXP001;Cathay Pacific;Canada;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-08 00:00:00.000;DLA001;DLA Piper;United Kingdom;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-08 00:00:00.000;EIPC;EIPC;United Kingdom;Lyra Health International Ltd;2;1;2026-07-01 - 2026-07-31
2026-07-08 00:00:00.000;ICASSATEST;ICAS South Africa (Test Preview);South Africa;Lyra Southern Africa Pty Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-08 00:00:00.000;ICASSATEST;ICAS South Africa (Test Preview);United Kingdom;Lyra Southern Africa Pty Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-08 00:00:00.000;ICASTESTCS;ICAS Client Services (Test Preview);South Africa;Lyra Health International Ltd;4;2;2026-07-01 - 2026-07-31
2026-07-08 00:00:00.000;ICASTESTCS;ICAS Client Services (Test Preview);United Kingdom;Lyra Health International Ltd;2;2;2026-07-01 - 2026-07-31
2026-07-08 00:00:00.000;NEWMONT;Newmont;Australia;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-08 00:00:00.000;NEWMONT;Newmont;Ghana;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-08 00:00:00.000;PEPSICO;Pepsico;United States;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-08 00:00:00.000;RELX;RELX;Philippines;Lyra Health International Ltd;2;1;2026-07-01 - 2026-07-31
