yearMonth;CompanyCode;CompanyName;Country;Operation;EventType;DeviceCategory;SearchTerm;ContentType;ContentTitleEN;downloadLanguage;Theme;Route;UserType;uniqueUsers;FileName;PipelineRunID;DateRange;ImportDate;CreatedBy;DataSource
"2026-07";"ICASTESTCS";"ICAS Client Services (Test Preview)";"United States";"Lyra Health International Ltd";"view";"Desktop";"-";"Infosheet";"How to Lower Your Risk of Type 2 Diabetes";"-";"Physical wellbeing,Diabetes";"Search";"Returning User";"1";"Staging/2026-08-02_01f5da82-777c-4786-9e01-01034c7602b6/Lyra_Health_International_Ltd/Monthly/MercuryMonthlyEvents_2026-08-02.csv";"01f5da82-777c-4786-9e01-01034c7602b6";"2026-07-01 - 2026-07-31";"2026-08-02";"pl_tran_adlk_AppIn_Mercury";"Mercury"
"2026-07";"ICASTESTCS";"ICAS Client Services (Test Preview)";"United States";"Lyra Health International Ltd";"search";"Desktop";"diabetes";"-";"-";"-";;;"Returning User";"1";"Staging/2026-08-02_01f5da82-777c-4786-9e01-01034c7602b6/Lyra_Health_International_Ltd/Monthly/MercuryMonthlyEvents_2026-08-02.csv";"01f5da82-777c-4786-9e01-01034c7602b6";"2026-07-01 - 2026-07-31";"2026-08-02";"pl_tran_adlk_AppIn_Mercury";"Mercury"
"2026-07";"ICASTESTCS";"ICAS Client Services (Test Preview)";"United States";"Lyra Health International Ltd";"view";"Desktop";"-";"Infosheet";"Supporting a Team Member Experiencing Family Problems";"-";"Relationships,Family";"Search";"Returning User";"1";"Staging/2026-08-02_01f5da82-777c-4786-9e01-01034c7602b6/Lyra_Health_International_Ltd/Monthly/MercuryMonthlyEvents_2026-08-02.csv";"01f5da82-777c-4786-9e01-01034c7602b6";"2026-07-01 - 2026-07-31";"2026-08-02";"pl_tran_adlk_AppIn_Mercury";"Mercury"
"2026-07";"ICASTESTCS";"ICAS Client Services (Test Preview)";"United States";"Lyra Health International Ltd";"download";"Desktop";"-";"Infosheet";"Affirmations to Help Build Self-esteem";"en";;"Search";"Returning User";"1";"Staging/2026-08-02_01f5da82-777c-4786-9e01-01034c7602b6/Lyra_Health_International_Ltd/Monthly/MercuryMonthlyEvents_2026-08-02.csv";"01f5da82-777c-4786-9e01-01034c7602b6";"2026-07-01 - 2026-07-31";"2026-08-02";"pl_tran_adlk_AppIn_Mercury";"Mercury"
"2026-07";"ICASTESTCS";"ICAS Client Services (Test Preview)";"United States";"Lyra Health International Ltd";"download";"Desktop";"-";"Infosheet";"How Self-compassion Can Help You Achieve Your Fitness Goals";"en";;"Search";"Returning User";"1";"Staging/2026-08-02_01f5da82-777c-4786-9e01-01034c7602b6/Lyra_Health_International_Ltd/Monthly/MercuryMonthlyEvents_2026-08-02.csv";"01f5da82-777c-4786-9e01-01034c7602b6";"2026-07-01 - 2026-07-31";"2026-08-02";"pl_tran_adlk_AppIn_Mercury";"Mercury"
"2026-07";"ICASTESTCS";"ICAS Client Services (Test Preview)";"United States";"Lyra Health International Ltd";"view";"Desktop";"-";"Infosheet";"How Self-compassion Can Help You Achieve Your Fitness Goals";"-";"Physical wellbeing,Self-compassion";"Search";"Returning User";"1";"Staging/2026-08-02_01f5da82-777c-4786-9e01-01034c7602b6/Lyra_Health_International_Ltd/Monthly/MercuryMonthlyEvents_2026-08-02.csv";"01f5da82-777c-4786-9e01-01034c7602b6";"2026-07-01 - 2026-07-31";"2026-08-02";"pl_tran_adlk_AppIn_Mercury";"Mercury"
"2026-07";"ICASTESTCS";"ICAS Client Services (Test Preview)";"United States";"Lyra Health International Ltd";"download";"Desktop";"-";"Infosheet";"Finding the Balance Between Health Goals and Self-Acceptance";"en";;"Search";"Returning User";"1";"Staging/2026-08-02_01f5da82-777c-4786-9e01-01034c7602b6/Lyra_Health_International_Ltd/Monthly/MercuryMonthlyEvents_2026-08-02.csv";"01f5da82-777c-4786-9e01-01034c7602b6";"2026-07-01 - 2026-07-31";"2026-08-02";"pl_tran_adlk_AppIn_Mercury";"Mercury"
"2026-07";"ICASTESTCS";"ICAS Client Services (Test Preview)";"United States";"Lyra Health International Ltd";"view";"Desktop";"-";"Infosheet";"Finding the Balance Between Health Goals and Self-Acceptance";"-";"Physical wellbeing,Mental wellbeing,Nutrition,Self-care";"Search";"Returning User";"1";"Staging/2026-08-02_01f5da82-777c-4786-9e01-01034c7602b6/Lyra_Health_International_Ltd/Monthly/MercuryMonthlyEvents_2026-08-02.csv";"01f5da82-777c-4786-9e01-01034c7602b6";"2026-07-01 - 2026-07-31";"2026-08-02";"pl_tran_adlk_AppIn_Mercury";"Mercury"
"2026-07";"ICASTESTCS";"ICAS Client Services (Test Preview)";"United States";"Lyra Health International Ltd";"download";"Desktop";"-";"Infosheet";"How to Stop Overcommitting";"en";;"Search";"Returning User";"1";"Staging/2026-08-02_01f5da82-777c-4786-9e01-01034c7602b6/Lyra_Health_International_Ltd/Monthly/MercuryMonthlyEvents_2026-08-02.csv";"01f5da82-777c-4786-9e01-01034c7602b6";"2026-07-01 - 2026-07-31";"2026-08-02";"pl_tran_adlk_AppIn_Mercury";"Mercury"
"2026-07";"ICASTESTCS";"ICAS Client Services (Test Preview)";"United States";"Lyra Health International Ltd";"download";"Desktop";"-";"Infosheet";"How to Prioritize Self-care";"en";;"Search";"Returning User";"1";"Staging/2026-08-02_01f5da82-777c-4786-9e01-01034c7602b6/Lyra_Health_International_Ltd/Monthly/MercuryMonthlyEvents_2026-08-02.csv";"01f5da82-777c-4786-9e01-01034c7602b6";"2026-07-01 - 2026-07-31";"2026-08-02";"pl_tran_adlk_AppIn_Mercury";"Mercury"
"2026-07";"ICASTESTCS";"ICAS Client Services (Test Preview)";"United States";"Lyra Health International Ltd";"download";"Desktop";"-";"Infosheet";"Resolving Family Conflict During the Holidays";"en";;"Search";"Returning User";"1";"Staging/2026-08-02_01f5da82-777c-4786-9e01-01034c7602b6/Lyra_Health_International_Ltd/Monthly/MercuryMonthlyEvents_2026-08-02.csv";"01f5da82-777c-4786-9e01-01034c7602b6";"2026-07-01 - 2026-07-31";"2026-08-02";"pl_tran_adlk_AppIn_Mercury";"Mercury"
